time,temp,humidity
18:05:13,11.00,25.00
18:05:15,11.00,25.00
18:05:17,11.00,25.00
18:05:19,11.00,25.00
18:05:21,11.00,25.00
18:05:23,11.00,25.00
18:05:25,11.00,25.00
18:05:27,11.00,25.00
18:05:29,11.00,25.00
18:05:31,11.00,25.00
18:05:33,11.00,25.00
18:05:35,11.00,25.00
18:05:37,11.00,25.00
18:05:39,11.00,25.00
18:05:41,11.00,25.00
18:05:43,11.00,25.00
18:05:45,11.00,25.00
18:05:47,11.00,25.00
18:05:49,11.00,25.00
18:05:51,11.00,25.00
18:05:53,11.00,25.00
18:05:56,11.00,25.00
18:05:58,11.00,25.00
18:06:00,11.00,25.00
18:06:02,11.00,25.00
18:06:04,11.00,25.00
18:06:06,11.00,25.00
18:06:08,11.00,25.00
18:06:10,11.00,25.00
18:06:12,11.00,25.00
18:06:14,11.00,25.00
18:06:16,11.00,25.00
18:06:18,11.00,25.00
18:06:20,11.00,25.00
18:06:22,11.00,25.00
18:06:24,11.00,25.00
18:06:26,11.00,25.00
18:06:28,11.00,25.00
18:06:30,11.00,25.00
18:06:32,11.00,25.00
18:06:34,11.00,25.00
18:06:36,11.00,25.00
18:06:38,11.00,25.00
18:06:40,11.00,25.00
18:06:42,11.00,25.00
18:06:45,11.00,25.00
18:06:47,11.00,25.00
18:06:49,11.00,25.00
18:06:51,11.00,25.00
18:06:53,11.00,25.00
18:06:55,11.00,25.00
18:06:57,11.00,25.00
18:06:59,11.00,25.00
18:07:01,11.00,25.00
18:07:03,10.00,26.00
18:07:05,10.00,26.00
18:07:07,10.00,26.00
18:07:09,10.00,26.00
18:07:11,10.00,26.00
18:07:13,10.00,26.00
18:07:15,10.00,26.00
18:07:17,10.00,26.00
18:07:19,10.00,26.00
18:07:21,10.00,26.00
18:07:23,10.00,26.00
18:07:25,10.00,26.00
18:07:27,10.00,26.00
18:07:29,10.00,26.00
18:07:31,10.00,26.00
18:07:34,10.00,26.00
18:07:36,10.00,26.00
18:07:38,10.00,26.00
18:07:40,10.00,26.00
18:07:42,10.00,26.00
18:07:44,10.00,26.00
18:07:46,10.00,26.00
18:07:48,10.00,26.00
18:07:50,10.00,26.00
18:07:52,10.00,26.00
18:07:54,10.00,26.00
18:07:56,10.00,26.00
18:07:58,10.00,26.00
18:08:00,10.00,26.00
18:08:02,10.00,26.00
18:08:04,10.00,26.00
18:08:06,10.00,26.00
18:08:08,10.00,26.00
18:08:10,10.00,26.00
18:08:12,10.00,26.00
18:08:14,10.00,26.00
18:08:16,10.00,26.00
18:08:18,10.00,26.00
18:08:21,10.00,26.00
18:08:23,10.00,26.00
18:08:25,10.00,26.00
18:08:27,10.00,26.00
18:08:29,10.00,26.00
18:08:31,10.00,26.00
18:08:33,10.00,26.00
18:08:35,10.00,26.00
18:08:37,10.00,26.00
18:08:39,10.00,26.00
18:08:41,10.00,26.00
18:08:43,10.00,26.00
18:08:45,10.00,26.00
18:08:47,10.00,26.00
18:08:49,10.00,26.00
18:08:51,10.00,26.00
18:08:53,10.00,26.00
18:08:55,10.00,26.00
18:08:57,10.00,26.00
18:08:59,10.00,26.00
18:09:01,10.00,26.00
18:09:03,10.00,26.00
18:09:05,10.00,26.00
18:09:07,10.00,26.00
18:09:10,10.00,26.00
18:09:12,10.00,26.00
18:09:14,10.00,26.00
18:09:16,10.00,26.00
18:09:18,10.00,26.00
18:09:20,10.00,26.00
18:09:22,10.00,26.00
18:09:24,10.00,26.00
18:09:26,10.00,26.00
